,Age,SibSp,Parch,Fare,Family_Size,Survived,Pclass,Sex,Embarked,Alone,Initial
0,22.0,1,0,7.25,2,0,3,male,S,0,Mr
1,38.0,1,0,71.2833,2,1,1,female,C,0,Mrs
2,26.0,0,0,7.925,1,1,3,female,S,1,Miss
3,35.0,1,0,53.1,2,1,1,female,S,0,Mrs
4,35.0,0,0,8.05,1,0,3,male,S,1,Mr
5,28.0,0,0,8.4583,1,0,3,male,Q,1,Mr
6,54.0,0,0,51.8625,1,0,1,male,S,1,Mr
7,2.0,3,1,21.075,5,0,3,male,S,0,Master
8,27.0,0,2,11.1333,3,1,3,female,S,0,Mrs
9,14.0,1,0,30.0708,2,1,2,female,C,0,Mrs
10,4.0,1,1,16.7,3,1,3,female,S,0,Miss
11,58.0,0,0,26.55,1,1,1,female,S,1,Miss
12,20.0,0,0,8.05,1,0,3,male,S,1,Mr
13,39.0,1,5,31.275,7,0,3,male,S,0,Mr
14,14.0,0,0,7.8542,1,0,3,female,S,1,Miss
15,55.0,0,0,16.0,1,1,2,female,S,1,Mrs
16,2.0,4,1,29.125,6,0,3,male,Q,0,Master
17,28.0,0,0,13.0,1,1,2,male,S,1,Mr
18,31.0,1,0,18.0,2,0,3,female,S,0,Mrs
19,28.0,0,0,7.225,1,1,3,female,C,1,Mrs
20,35.0,0,0,26.0,1,0,2,male,S,1,Mr
21,34.0,0,0,13.0,1,1,2,male,S,1,Mr
22,15.0,0,0,8.0292,1,1,3,female,Q,1,Miss
23,28.0,0,0,35.5,1,1,1,male,S,1,Mr
24,8.0,3,1,21.075,5,0,3,female,S,0,Miss
25,38.0,1,5,31.3875,7,1,3,female,S,0,Mrs
26,28.0,0,0,7.225,1,0,3,male,C,1,Mr
27,19.0,3,2,263.0,6,0,1,male,S,0,Mr
28,28.0,0,0,7.8792,1,1,3,female,Q,1,Miss
29,28.0,0,0,7.8958,1,0,3,male,S,1,Mr
30,40.0,0,0,27.7208,1,0,1,male,C,1,Don
31,28.0,1,0,146.5208,2,1,1,female,C,0,Mrs
32,28.0,0,0,7.75,1,1,3,female,Q,1,Miss
33,66.0,0,0,10.5,1,0,2,male,S,1,Mr
34,28.0,1,0,82.1708,2,0,1,male,C,0,Mr
35,42.0,1,0,52.0,2,0,1,male,S,0,Mr
36,28.0,0,0,7.2292,1,1,3,male,C,1,Mr
37,21.0,0,0,8.05,1,0,3,male,S,1,Mr
38,18.0,2,0,18.0,3,0,3,female,S,0,Miss
39,14.0,1,0,11.2417,2,1,3,female,C,0,Miss
40,40.0,1,0,9.475,2,0,3,female,S,0,Mrs
41,27.0,1,0,21.0,2,0,2,female,S,0,Mrs
42,28.0,0,0,7.8958,1,0,3,male,C,1,Mr
43,3.0,1,2,41.5792,4,1,2,female,C,0,Miss
44,19.0,0,0,7.8792,1,1,3,female,Q,1,Miss
45,28.0,0,0,8.05,1,0,3,male,S,1,Mr
46,28.0,1,0,15.5,2,0,3,male,Q,0,Mr
47,28.0,0,0,7.75,1,1,3,female,Q,1,Miss
48,28.0,2,0,21.6792,3,0,3,male,C,0,Mr
49,18.0,1,0,17.8,2,0,3,female,S,0,Mrs
50,7.0,4,1,39.6875,6,0,3,male,S,0,Master
51,21.0,0,0,7.8,1,0,3,male,S,1,Mr
52,49.0,1,0,76.7292,2,1,1,female,C,0,Mrs
53,29.0,1,0,26.0,2,1,2,female,S,0,Mrs
54,65.0,0,1,61.9792,2,0,1,male,C,0,Mr
55,28.0,0,0,35.5,1,1,1,male,S,1,Mr
56,21.0,0,0,10.5,1,1,2,female,S,1,Miss
57,28.5,0,0,7.2292,1,0,3,male,C,1,Mr
58,5.0,1,2,27.75,4,1,2,female,S,0,Miss
59,11.0,5,2,46.9,8,0,3,male,S,0,Master
60,22.0,0,0,7.2292,1,0,3,male,C,1,Mr
61,38.0,0,0,80.0,1,1,1,female,S,1,Miss
62,45.0,1,0,83.475,2,0,1,male,S,0,Mr
63,4.0,3,2,27.9,6,0,3,male,S,0,Master
64,28.0,0,0,27.7208,1,0,1,male,C,1,Mr
65,28.0,1,1,15.2458,3,1,3,male,C,0,Master
66,29.0,0,0,10.5,1,1,2,female,S,1,Mrs
67,19.0,0,0,8.1583,1,0,3,male,S,1,Mr
68,17.0,4,2,7.925,7,1,3,female,S,0,Miss
69,26.0,2,0,8.6625,3,0,3,male,S,0,Mr
70,32.0,0,0,10.5,1,0,2,male,S,1,Mr
