,Pclass,Alone,Fare,Parch,Family_Size,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Survived
0,3,0,7.25,0,2,0.0,1.0,0.0,0.0,1.0,0
1,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
2,3,1,8.4583,0,1,0.0,1.0,0.0,1.0,0.0,0
3,1,1,51.8625,0,1,0.0,1.0,0.0,0.0,1.0,0
5,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
7,3,1,7.8542,0,1,1.0,0.0,0.0,0.0,1.0,0
9,3,0,18.0,0,2,1.0,0.0,0.0,0.0,1.0,0
10,2,1,26.0,0,1,0.0,1.0,0.0,0.0,1.0,0
12,3,1,7.225,0,1,0.0,1.0,1.0,0.0,0.0,0
14,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
15,1,1,27.7208,0,1,0.0,1.0,1.0,0.0,0.0,0
16,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
18,1,0,52.0,0,2,0.0,1.0,0.0,0.0,1.0,0
19,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
20,3,0,18.0,0,3,1.0,0.0,0.0,0.0,1.0,0
21,3,0,9.475,0,2,1.0,0.0,0.0,0.0,1.0,0
22,2,0,21.0,0,2,1.0,0.0,0.0,0.0,1.0,0
23,3,1,7.8958,0,1,0.0,1.0,1.0,0.0,0.0,0
24,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
25,3,0,15.5,0,2,0.0,1.0,0.0,1.0,0.0,0
26,3,0,21.6792,0,3,0.0,1.0,1.0,0.0,0.0,0
27,3,0,17.8,0,2,1.0,0.0,0.0,0.0,1.0,0
29,3,1,7.8,0,1,0.0,1.0,0.0,0.0,1.0,0
30,1,0,61.9792,1,2,0.0,1.0,1.0,0.0,0.0,0
31,3,1,7.2292,0,1,0.0,1.0,1.0,0.0,0.0,0
33,3,1,7.2292,0,1,0.0,1.0,1.0,0.0,0.0,0
36,1,1,27.7208,0,1,0.0,1.0,1.0,0.0,0.0,0
37,3,1,8.1583,0,1,0.0,1.0,0.0,0.0,1.0,0
38,3,0,8.6625,0,3,0.0,1.0,0.0,0.0,1.0,0
39,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
41,2,1,73.5,0,1,0.0,1.0,0.0,0.0,1.0,0
42,3,0,14.4542,0,2,0.0,1.0,1.0,0.0,0.0,0
43,3,1,7.65,0,1,0.0,1.0,0.0,0.0,1.0,0
44,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
45,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
46,3,1,9.0,0,1,0.0,1.0,0.0,0.0,1.0,0
47,1,1,47.1,0,1,0.0,1.0,0.0,0.0,1.0,0
49,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
50,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
51,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
52,3,1,7.8542,0,1,0.0,1.0,0.0,0.0,1.0,0
53,1,0,61.175,0,2,0.0,1.0,0.0,0.0,1.0,0
55,3,1,7.25,0,1,0.0,1.0,0.0,0.0,1.0,0
56,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
