,Pclass,Alone,Fare,Parch,Family_Size,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Survived
0,3,0,7.25,0,2,0.0,1.0,0.0,0.0,1.0,0
4,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
5,3,1,8.4583,0,1,0.0,1.0,0.0,1.0,0.0,0
6,1,1,51.8625,0,1,0.0,1.0,0.0,0.0,1.0,0
7,3,0,21.075,1,5,0.0,1.0,0.0,0.0,1.0,0
12,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
13,3,0,31.275,5,7,0.0,1.0,0.0,0.0,1.0,0
14,3,1,7.8542,0,1,1.0,0.0,0.0,0.0,1.0,0
16,3,0,29.125,1,6,0.0,1.0,0.0,1.0,0.0,0
18,3,0,18.0,0,2,1.0,0.0,0.0,0.0,1.0,0
20,2,1,26.0,0,1,0.0,1.0,0.0,0.0,1.0,0
24,3,0,21.075,1,5,1.0,0.0,0.0,0.0,1.0,0
26,3,1,7.225,0,1,0.0,1.0,1.0,0.0,0.0,0
27,1,0,263.0,2,6,0.0,1.0,0.0,0.0,1.0,0
29,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
30,1,1,27.7208,0,1,0.0,1.0,1.0,0.0,0.0,0
33,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
34,1,0,82.1708,0,2,0.0,1.0,1.0,0.0,0.0,0
35,1,0,52.0,0,2,0.0,1.0,0.0,0.0,1.0,0
37,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
38,3,0,18.0,0,3,1.0,0.0,0.0,0.0,1.0,0
40,3,0,9.475,0,2,1.0,0.0,0.0,0.0,1.0,0
41,2,0,21.0,0,2,1.0,0.0,0.0,0.0,1.0,0
42,3,1,7.8958,0,1,0.0,1.0,1.0,0.0,0.0,0
45,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
46,3,0,15.5,0,2,0.0,1.0,0.0,1.0,0.0,0
48,3,0,21.6792,0,3,0.0,1.0,1.0,0.0,0.0,0
49,3,0,17.8,0,2,1.0,0.0,0.0,0.0,1.0,0
50,3,0,39.6875,1,6,0.0,1.0,0.0,0.0,1.0,0
51,3,1,7.8,0,1,0.0,1.0,0.0,0.0,1.0,0
54,1,0,61.9792,1,2,0.0,1.0,1.0,0.0,0.0,0
57,3,1,7.2292,0,1,0.0,1.0,1.0,0.0,0.0,0
59,3,0,46.9,2,8,0.0,1.0,0.0,0.0,1.0,0
60,3,1,7.2292,0,1,0.0,1.0,1.0,0.0,0.0,0
62,1,0,83.475,0,2,0.0,1.0,0.0,0.0,1.0,0
63,3,0,27.9,2,6,0.0,1.0,0.0,0.0,1.0,0
64,1,1,27.7208,0,1,0.0,1.0,1.0,0.0,0.0,0
67,3,1,8.1583,0,1,0.0,1.0,0.0,0.0,1.0,0
69,3,0,8.6625,0,3,0.0,1.0,0.0,0.0,1.0,0
70,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
71,3,0,46.9,2,8,1.0,0.0,0.0,0.0,1.0,0
72,2,1,73.5,0,1,0.0,1.0,0.0,0.0,1.0,0
73,3,0,14.4542,0,2,0.0,1.0,1.0,0.0,0.0,0
75,3,1,7.65,0,1,0.0,1.0,0.0,0.0,1.0,0
76,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
77,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
80,3,1,9.0,0,1,0.0,1.0,0.0,0.0,1.0,0
83,1,1,47.1,0,1,0.0,1.0,0.0,0.0,1.0,0
86,3,0,34.375,3,5,0.0,1.0,0.0,0.0,1.0,0
87,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
89,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
90,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
91,3,1,7.8542,0,1,0.0,1.0,0.0,0.0,1.0,0
92,1,0,61.175,0,2,0.0,1.0,0.0,0.0,1.0,0
93,3,0,20.575,2,4,0.0,1.0,0.0,0.0,1.0,0
94,3,1,7.25,0,1,0.0,1.0,0.0,0.0,1.0,0
95,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
96,1,1,34.6542,0,1,0.0,1.0,1.0,0.0,0.0,0
99,2,0,26.0,0,2,0.0,1.0,0.0,0.0,1.0,0
100,3,1,7.8958,0,1,1.0,0.0,0.0,0.0,1.0,0
101,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
102,1,0,77.2875,1,2,0.0,1.0,0.0,0.0,1.0,0
103,3,1,8.6542,0,1,0.0,1.0,0.0,0.0,1.0,0
104,3,0,7.925,0,3,0.0,1.0,0.0,0.0,1.0,0
105,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
108,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
110,1,1,52.0,0,1,0.0,1.0,0.0,0.0,1.0,0
111,3,0,14.4542,0,2,1.0,0.0,1.0,0.0,0.0,0
112,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
113,3,0,9.825,0,2,1.0,0.0,0.0,0.0,1.0,0
114,3,1,14.4583,0,1,1.0,0.0,1.0,0.0,0.0,0
115,3,1,7.925,0,1,0.0,1.0,0.0,0.0,1.0,0
116,3,1,7.75,0,1,0.0,1.0,0.0,1.0,0.0,0
117,2,0,21.0,0,2,0.0,1.0,0.0,0.0,1.0,0
118,1,0,247.5208,1,2,0.0,1.0,1.0,0.0,0.0,0
119,3,0,31.275,2,7,1.0,0.0,0.0,0.0,1.0,0
120,2,0,73.5,0,3,0.0,1.0,0.0,0.0,1.0,0
121,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
122,2,0,30.0708,0,2,0.0,1.0,1.0,0.0,0.0,0
124,1,0,77.2875,1,2,0.0,1.0,0.0,0.0,1.0,0
126,3,1,7.75,0,1,0.0,1.0,0.0,1.0,0.0,0
129,3,1,6.975,0,1,0.0,1.0,0.0,0.0,1.0,0
130,3,1,7.8958,0,1,0.0,1.0,1.0,0.0,0.0,0
131,3,1,7.05,0,1,0.0,1.0,0.0,0.0,1.0,0
132,3,0,14.5,0,2,1.0,0.0,0.0,0.0,1.0,0
134,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
135,2,1,15.0458,0,1,0.0,1.0,1.0,0.0,0.0,0
137,1,0,53.1,0,2,0.0,1.0,0.0,0.0,1.0,0
138,3,1,9.2167,0,1,0.0,1.0,0.0,0.0,1.0,0
139,1,1,79.2,0,1,0.0,1.0,1.0,0.0,0.0,0
140,3,0,15.2458,2,3,1.0,0.0,1.0,0.0,0.0,0
143,3,1,6.75,0,1,0.0,1.0,0.0,1.0,0.0,0
144,2,1,11.5,0,1,0.0,1.0,0.0,0.0,1.0,0
145,2,0,36.75,1,3,0.0,1.0,0.0,0.0,1.0,0
147,3,0,34.375,2,5,1.0,0.0,0.0,0.0,1.0,0
148,2,0,26.0,2,3,0.0,1.0,0.0,0.0,1.0,0
149,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
150,2,1,12.525,0,1,0.0,1.0,0.0,0.0,1.0,0
152,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
153,3,0,14.5,2,3,0.0,1.0,0.0,0.0,1.0,0
154,3,1,7.3125,0,1,0.0,1.0,0.0,0.0,1.0,0
155,1,0,61.3792,1,2,0.0,1.0,1.0,0.0,0.0,0
157,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
158,3,1,8.6625,0,1,0.0,1.0,0.0,0.0,1.0,0
159,3,0,69.55,2,11,0.0,1.0,0.0,0.0,1.0,0
160,3,0,16.1,1,2,0.0,1.0,0.0,0.0,1.0,0
162,3,1,7.775,0,1,0.0,1.0,0.0,0.0,1.0,0
163,3,1,8.6625,0,1,0.0,1.0,0.0,0.0,1.0,0
164,3,0,39.6875,1,6,0.0,1.0,0.0,0.0,1.0,0
167,3,0,27.9,4,6,1.0,0.0,0.0,0.0,1.0,0
168,1,1,25.925,0,1,0.0,1.0,0.0,0.0,1.0,0
169,3,1,56.4958,0,1,0.0,1.0,0.0,0.0,1.0,0
170,1,1,33.5,0,1,0.0,1.0,0.0,0.0,1.0,0
171,3,0,29.125,1,6,0.0,1.0,0.0,1.0,0.0,0
173,3,1,7.925,0,1,0.0,1.0,0.0,0.0,1.0,0
174,1,1,30.6958,0,1,0.0,1.0,1.0,0.0,0.0,0
175,3,0,7.8542,1,3,0.0,1.0,0.0,0.0,1.0,0
176,3,0,25.4667,1,5,0.0,1.0,0.0,0.0,1.0,0
177,1,1,28.7125,0,1,1.0,0.0,1.0,0.0,0.0,0
178,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
179,3,1,0.0,0,1,0.0,1.0,0.0,0.0,1.0,0
180,3,0,69.55,2,11,1.0,0.0,0.0,0.0,1.0,0
181,2,1,15.05,0,1,0.0,1.0,1.0,0.0,0.0,0
182,3,0,31.3875,2,7,0.0,1.0,0.0,0.0,1.0,0
185,1,1,50.0,0,1,0.0,1.0,0.0,0.0,1.0,0
188,3,0,15.5,1,3,0.0,1.0,0.0,1.0,0.0,0
189,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
191,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
