,Pclass,Alone,Fare,Parch,Family_Size,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Survived
0,3,0,7.25,0,2,0.0,1.0,0.0,0.0,1.0,0
1,1,0,71.2833,0,2,1.0,0.0,1.0,0.0,0.0,1
2,3,1,7.925,0,1,1.0,0.0,0.0,0.0,1.0,1
3,1,0,53.1,0,2,1.0,0.0,0.0,0.0,1.0,1
4,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
5,3,1,8.4583,0,1,0.0,1.0,0.0,1.0,0.0,0
6,1,1,51.8625,0,1,0.0,1.0,0.0,0.0,1.0,0
7,3,0,21.075,1,5,0.0,1.0,0.0,0.0,1.0,0
8,3,0,11.1333,2,3,1.0,0.0,0.0,0.0,1.0,1
9,2,0,30.0708,0,2,1.0,0.0,1.0,0.0,0.0,1
10,3,0,16.7,1,3,1.0,0.0,0.0,0.0,1.0,1
11,1,1,26.55,0,1,1.0,0.0,0.0,0.0,1.0,1
12,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
13,3,0,31.275,5,7,0.0,1.0,0.0,0.0,1.0,0
14,3,1,7.8542,0,1,1.0,0.0,0.0,0.0,1.0,0
15,2,1,16.0,0,1,1.0,0.0,0.0,0.0,1.0,1
16,3,0,29.125,1,6,0.0,1.0,0.0,1.0,0.0,0
17,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,1
18,3,0,18.0,0,2,1.0,0.0,0.0,0.0,1.0,0
19,3,1,7.225,0,1,1.0,0.0,1.0,0.0,0.0,1
20,2,1,26.0,0,1,0.0,1.0,0.0,0.0,1.0,0
21,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,1
22,3,1,8.0292,0,1,1.0,0.0,0.0,1.0,0.0,1
23,1,1,35.5,0,1,0.0,1.0,0.0,0.0,1.0,1
24,3,0,21.075,1,5,1.0,0.0,0.0,0.0,1.0,0
25,3,0,31.3875,5,7,1.0,0.0,0.0,0.0,1.0,1
26,3,1,7.225,0,1,0.0,1.0,1.0,0.0,0.0,0
27,1,0,263.0,2,6,0.0,1.0,0.0,0.0,1.0,0
28,3,1,7.8792,0,1,1.0,0.0,0.0,1.0,0.0,1
29,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
30,1,1,27.7208,0,1,0.0,1.0,1.0,0.0,0.0,0
31,1,0,146.5208,0,2,1.0,0.0,1.0,0.0,0.0,1
32,3,1,7.75,0,1,1.0,0.0,0.0,1.0,0.0,1
33,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
34,1,0,82.1708,0,2,0.0,1.0,1.0,0.0,0.0,0
35,1,0,52.0,0,2,0.0,1.0,0.0,0.0,1.0,0
36,3,1,7.2292,0,1,0.0,1.0,1.0,0.0,0.0,1
37,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
38,3,0,18.0,0,3,1.0,0.0,0.0,0.0,1.0,0
39,3,0,11.2417,0,2,1.0,0.0,1.0,0.0,0.0,1
40,3,0,9.475,0,2,1.0,0.0,0.0,0.0,1.0,0
41,2,0,21.0,0,2,1.0,0.0,0.0,0.0,1.0,0
