,Fare,Parch,Family_Size
0,7.25,0,2
1,71.2833,0,2
2,7.925,0,1
3,53.1,0,2
4,8.05,0,1
5,8.4583,0,1
6,51.8625,0,1
7,21.075,1,5
8,11.1333,2,3
9,30.0708,0,2
10,16.7,1,3
11,26.55,0,1
12,8.05,0,1
13,31.275,5,7
14,7.8542,0,1
15,16.0,0,1
16,29.125,1,6
17,13.0,0,1
18,18.0,0,2
19,7.225,0,1
20,26.0,0,1
21,13.0,0,1
22,8.0292,0,1
23,35.5,0,1
24,21.075,1,5
25,31.3875,5,7
26,7.225,0,1
27,263.0,2,6
28,7.8792,0,1
29,7.8958,0,1
30,27.7208,0,1
31,146.5208,0,2
32,7.75,0,1
33,10.5,0,1
34,82.1708,0,2
35,52.0,0,2
36,7.2292,0,1
37,8.05,0,1
38,18.0,0,3
39,11.2417,0,2
40,9.475,0,2
41,21.0,0,2
42,7.8958,0,1
43,41.5792,2,4
44,7.8792,0,1
45,8.05,0,1
46,15.5,0,2
47,7.75,0,1
48,21.6792,0,3
49,17.8,0,2
50,39.6875,1,6
51,7.8,0,1
52,76.7292,0,2
53,26.0,0,2
54,61.9792,1,2
55,35.5,0,1
56,10.5,0,1
57,7.2292,0,1
58,27.75,2,4
59,46.9,2,8
60,7.2292,0,1
61,80.0,0,1
62,83.475,0,2
63,27.9,2,6
64,27.7208,0,1
65,15.2458,1,3
66,10.5,0,1
67,8.1583,0,1
68,7.925,2,7
69,8.6625,0,3
70,10.5,0,1
71,46.9,2,8
72,73.5,0,1
73,14.4542,0,2
74,56.4958,0,1
75,7.65,0,1
76,7.8958,0,1
77,8.05,0,1
78,29.0,2,3
79,12.475,0,1
80,9.0,0,1
81,9.5,0,1
82,7.7875,0,1
83,47.1,0,1
84,10.5,0,1
85,15.85,0,4
86,34.375,3,5
87,8.05,0,1
88,263.0,2,6
89,8.05,0,1
90,8.05,0,1
91,7.8542,0,1
92,61.175,0,2
93,20.575,2,4
94,7.25,0,1
95,8.05,0,1
96,34.6542,0,1
97,63.3583,1,2
98,23.0,1,2
99,26.0,0,2
100,7.8958,0,1
101,7.8958,0,1
102,77.2875,1,2
103,8.6542,0,1
104,7.925,0,3
105,7.8958,0,1
106,7.65,0,1
107,7.775,0,1
108,7.8958,0,1
109,24.15,0,2
110,52.0,0,1
111,14.4542,0,2
112,8.05,0,1
113,9.825,0,2
114,14.4583,0,1
115,7.925,0,1
116,7.75,0,1
117,21.0,0,2
118,247.5208,1,2
119,31.275,2,7
120,73.5,0,3
121,8.05,0,1
122,30.0708,0,2
123,13.0,0,1
124,77.2875,1,2
125,11.2417,0,2
126,7.75,0,1
127,7.1417,0,1
128,22.3583,1,3
129,6.975,0,1
130,7.8958,0,1
131,7.05,0,1
132,14.5,0,2
133,26.0,0,2
134,13.0,0,1
135,15.0458,0,1
136,26.2833,2,3
137,53.1,0,2
138,9.2167,0,1
139,79.2,0,1
140,15.2458,2,3
141,7.75,0,1
142,15.85,0,2
143,6.75,0,1
144,11.5,0,1
145,36.75,1,3
146,7.7958,0,1
147,34.375,2,5
148,26.0,2,3
149,13.0,0,1
150,12.525,0,1
151,66.6,0,2
152,8.05,0,1
153,14.5,2,3
154,7.3125,0,1
155,61.3792,1,2
156,7.7333,0,1
157,8.05,0,1
158,8.6625,0,1
159,69.55,2,11
160,16.1,1,2
161,15.75,0,1
162,7.775,0,1
163,8.6625,0,1
164,39.6875,1,6
165,20.525,2,3
166,55.0,1,2
167,27.9,4,6
168,25.925,0,1
169,56.4958,0,1
170,33.5,0,1
171,29.125,1,6
172,11.1333,1,3
173,7.925,0,1
174,30.6958,0,1
175,7.8542,1,3
176,25.4667,1,5
177,28.7125,0,1
178,13.0,0,1
179,0.0,0,1
180,69.55,2,11
181,15.05,0,1
182,31.3875,2,7
183,39.0,1,4
184,22.025,2,3
185,50.0,0,1
186,15.5,0,2
187,26.55,0,1
188,15.5,1,3
189,7.8958,0,1
190,13.0,0,1
191,13.0,0,1
192,7.8542,0,2
193,26.0,1,3
194,27.7208,0,1
195,146.5208,0,1
196,7.75,0,1
197,8.4042,1,2
198,7.75,0,1
199,13.0,0,1
200,9.5,0,1
201,69.55,2,11
202,6.4958,0,1
203,7.225,0,1
204,8.05,0,1
205,10.4625,1,2
206,15.85,0,2
207,18.7875,0,1
208,7.75,0,1
209,31.0,0,1
210,7.05,0,1
211,21.0,0,1
212,7.25,0,1
213,13.0,0,1
214,7.75,0,2
215,113.275,0,2
216,7.925,0,1
217,27.0,0,2
218,76.2917,0,1
219,10.5,0,1
220,8.05,0,1
221,13.0,0,1
222,8.05,0,1
223,7.8958,0,1
224,90.0,0,2
225,9.35,0,1
226,10.5,0,1
227,7.25,0,1
228,13.0,0,1
229,25.4667,1,5
230,83.475,0,2
231,7.775,0,1
232,13.5,0,1
233,31.3875,2,7
234,10.5,0,1
235,7.55,0,1
236,26.0,0,2
237,26.25,2,3
238,10.5,0,1
239,12.275,0,1
240,14.4542,0,2
241,15.5,0,2
242,10.5,0,1
243,7.125,0,1
244,7.225,0,1
245,90.0,0,3
246,7.775,0,1
247,14.5,2,3
248,52.5542,1,3
249,26.0,0,2
250,7.25,0,1
251,10.4625,1,3
252,26.55,0,1
253,16.1,0,2
254,20.2125,2,3
255,15.2458,2,3
256,79.2,0,1
257,86.5,0,1
258,512.3292,0,1
259,26.0,1,2
260,7.75,0,1
261,31.3875,2,7
262,79.65,1,3
263,0.0,0,1
264,7.75,0,1
265,10.5,0,1
266,39.6875,1,6
267,7.775,0,2
268,153.4625,1,2
269,135.6333,0,1
270,31.0,0,1
271,0.0,0,1
272,19.5,1,2
273,29.7,1,2
274,7.75,0,1
275,77.9583,0,2
276,7.75,0,1
277,0.0,0,1
278,29.125,1,6
279,20.25,1,3
280,7.75,0,1
281,7.8542,0,1
282,9.5,0,1
283,8.05,0,1
284,26.0,0,1
285,8.6625,0,1
286,9.5,0,1
287,7.8958,0,1
288,13.0,0,1
289,7.75,0,1
290,78.85,0,1
291,91.0792,0,2
292,12.875,0,1
293,8.85,0,1
294,7.8958,0,1
295,27.7208,0,1
296,7.2292,0,1
297,151.55,2,4
298,30.5,0,1
299,247.5208,1,2
300,7.75,0,1
301,23.25,0,3
302,0.0,0,1
303,12.35,0,1
304,8.05,0,1
305,151.55,2,4
306,110.8833,0,1
307,108.9,0,2
308,24.0,0,2
309,56.9292,0,1
310,83.1583,0,1
311,262.375,2,5
312,26.0,1,3
313,7.8958,0,1
314,26.25,1,3
315,7.8542,0,1
316,26.0,0,2
317,14.0,0,1
318,164.8667,2,3
319,134.5,1,3
320,7.25,0,1
321,7.8958,0,1
322,12.35,0,1
323,29.0,1,3
324,69.55,2,11
325,135.6333,0,1
326,6.2375,0,1
327,13.0,0,1
328,20.525,1,3
329,57.9792,1,2
330,23.25,0,3
331,28.5,0,1
332,153.4625,1,2
333,18.0,0,3
334,133.65,0,2
335,7.8958,0,1
336,66.6,0,2
337,134.5,0,1
338,8.05,0,1
339,35.5,0,1
340,26.0,1,3
341,263.0,2,6
342,13.0,0,1
343,13.0,0,1
344,13.0,0,1
345,13.0,0,1
346,13.0,0,1
347,16.1,0,2
348,15.9,1,3
349,8.6625,0,1
350,9.225,0,1
351,35.0,0,1
352,7.2292,1,3
353,17.8,0,2
354,7.225,0,1
355,9.5,0,1
356,55.0,1,2
357,13.0,0,1
358,7.8792,0,1
359,7.8792,0,1
360,27.9,4,6
361,27.7208,0,2
362,14.4542,1,2
363,7.05,0,1
364,15.5,0,2
365,7.25,0,1
366,75.25,0,2
367,7.2292,0,1
368,7.75,0,1
369,69.3,0,1
370,55.4417,0,2
371,6.4958,0,2
372,8.05,0,1
373,135.6333,0,1
374,21.075,1,5
375,82.1708,0,2
376,7.25,0,1
377,211.5,2,3
378,4.0125,0,1
379,7.775,0,1
380,227.525,0,1
381,15.7417,2,3
382,7.925,0,1
383,52.0,0,2
384,7.8958,0,1
385,73.5,0,1
386,46.9,2,8
387,13.0,0,1
388,7.7292,0,1
389,12.0,0,1
390,120.0,2,4
391,7.7958,0,1
392,7.925,0,3
393,113.275,0,2
394,16.7,2,3
395,7.7958,0,1
396,7.8542,0,1
397,26.0,0,1
398,10.5,0,1
399,12.65,0,1
400,7.925,0,1
